response_id,respondent_id,timestamp,department,department_ja,role,role_ja,usage_frequency,usage_frequency_ja,incident_experience,vendor_id,vendor_name,performance_incident_response_speed,performance_sla_achievement,performance_problem_resolution,performance_communication_speed,performance_availability_maintenance,technical_expertise,technical_troubleshooting,technical_new_tech_adaptation,technical_documentation_quality,technical_proposal,business_process_understanding,business_impact_consideration,business_prioritization,business_stakeholder_management,business_cost_awareness,improvement_proposal_quality,improvement_proposal_frequency,improvement_proactive_attitude,improvement_innovation,improvement_long_term_perspective,comment
1,1,2025-11-13 19:27:12,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,A,A社,4,3,3,2,5,4,4,5,1,4,3,3,3,3,4,1,5,2,3,5,
2,1,2025-11-16 22:41:12,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,B,B社,5,5,3,4,2,3,4,5,3,5,5,3,5,3,5,4,1,1,1,5,
3,1,2025-10-31 21:13:12,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,C,C社,3,1,4,3,2,2,2,4,3,3,2,4,1,1,2,2,4,4,1,1,
4,1,2025-10-28 05:13:12,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,D,D社,5,5,5,1,3,1,2,1,2,3,5,4,1,5,5,3,2,1,5,1,
5,2,2025-11-22 02:31:12,business,業務部門,manager,マネージャー,low,低頻度,False,A,A社,5,4,2,3,5,5,2,1,2,1,2,3,2,3,1,2,3,3,2,1,
6,2,2025-11-12 00:28:12,business,業務部門,manager,マネージャー,low,低頻度,False,B,B社,2,5,2,5,1,5,4,1,1,3,3,4,5,1,1,5,2,4,4,5,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。
7,2,2025-10-24 19:39:12,business,業務部門,manager,マネージャー,low,低頻度,False,C,C社,3,1,3,4,1,1,1,4,3,2,3,2,1,4,1,1,5,3,3,1,
8,2,2025-11-01 03:04:12,business,業務部門,manager,マネージャー,low,低頻度,False,D,D社,3,4,3,3,4,1,1,1,1,1,4,5,1,3,3,4,3,2,1,1,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。
9,3,2025-10-25 02:38:12,business,業務部門,leader,リーダー,low,低頻度,True,A,A社,3,5,1,2,1,2,2,3,4,2,2,5,5,5,3,5,2,2,3,3,
10,3,2025-11-16 05:10:12,business,業務部門,leader,リーダー,low,低頻度,True,B,B社,5,4,5,5,3,3,5,5,1,5,4,2,3,3,3,5,3,5,2,1,
11,3,2025-11-11 00:40:12,business,業務部門,leader,リーダー,low,低頻度,True,C,C社,4,2,4,5,3,5,1,3,5,4,2,5,5,4,5,5,1,2,2,2,全体的に満足していますが、ドキュメントの質を向上してほしいです。
12,3,2025-11-08 03:43:12,business,業務部門,leader,リーダー,low,低頻度,True,D,D社,3,2,2,3,1,2,4,1,1,5,4,1,5,3,3,1,4,3,3,5,コミュニケーションが取りやすく、信頼できるパートナーです。
13,4,2025-11-18 19:14:12,logistics,物流部門,executive,役員,high,高頻度,True,A,A社,5,5,1,3,1,3,3,3,5,4,3,2,3,5,2,3,2,2,4,4,
14,4,2025-11-18 21:10:12,logistics,物流部門,executive,役員,high,高頻度,True,B,B社,2,4,1,4,4,2,3,1,5,5,5,4,5,1,1,1,5,4,2,3,
15,4,2025-11-06 23:43:12,logistics,物流部門,executive,役員,high,高頻度,True,C,C社,4,1,2,1,1,5,3,4,5,3,4,2,1,5,5,3,1,2,3,5,全体的に満足していますが、ドキュメントの質を向上してほしいです。
16,4,2025-10-28 22:14:12,logistics,物流部門,executive,役員,high,高頻度,True,D,D社,2,5,4,3,4,1,5,3,4,2,2,3,5,1,1,5,2,5,1,5,今後も継続して利用したいと思います。
17,5,2025-11-03 19:31:12,finance,経理財務部門,manager,マネージャー,low,低頻度,True,A,A社,4,2,1,3,4,1,2,4,1,4,2,4,3,2,3,5,1,2,3,2,
18,5,2025-11-05 19:48:12,finance,経理財務部門,manager,マネージャー,low,低頻度,True,B,B社,5,2,1,2,1,3,4,4,1,1,3,3,4,5,5,4,5,3,3,1,
19,5,2025-11-21 00:04:12,finance,経理財務部門,manager,マネージャー,low,低頻度,True,C,C社,1,5,5,5,2,4,5,2,4,2,2,4,5,5,4,3,2,3,5,2,全体的に満足していますが、ドキュメントの質を向上してほしいです。
20,5,2025-11-01 19:12:12,finance,経理財務部門,manager,マネージャー,low,低頻度,True,D,D社,4,4,4,1,2,3,4,1,3,1,1,5,2,4,2,5,5,2,2,1,
21,6,2025-11-08 02:33:12,it,IT部門,executive,役員,medium,中頻度,False,A,A社,2,2,1,2,4,4,4,5,2,2,5,2,1,3,3,2,3,3,4,1,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。
22,6,2025-11-23 00:31:12,it,IT部門,executive,役員,medium,中頻度,False,B,B社,5,4,4,4,1,2,2,1,1,2,4,1,1,1,3,4,5,3,4,5,
23,6,2025-11-10 23:19:12,it,IT部門,executive,役員,medium,中頻度,False,C,C社,4,2,2,4,2,2,3,5,2,5,5,4,2,1,2,1,3,5,5,1,
24,6,2025-11-14 04:22:12,it,IT部門,executive,役員,medium,中頻度,False,D,D社,1,2,3,3,1,5,2,1,4,4,3,4,2,4,2,4,2,4,4,3,
25,7,2025-11-21 00:02:12,it,IT部門,leader,リーダー,medium,中頻度,True,A,A社,1,3,1,3,1,4,5,4,3,4,4,3,5,4,4,2,3,5,3,3,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。
26,7,2025-10-30 19:28:12,it,IT部門,leader,リーダー,medium,中頻度,True,B,B社,3,2,5,4,1,5,5,3,3,2,4,5,2,3,3,3,2,1,5,3,
