sentence_id,sentence,score,positive,negative,sentiment,model_name
1,先日利用させていただいたサービスについて、感想をお伝えします,-0.42267002258449793,0.014668955467641354,0.4373389780521393,ネガティブ,transformer2
2,スタッフの皆様の対応が非常に丁寧で、とても好感が持てました,-0.00867139152251184,0.0021815600339323282,0.010852951556444168,中立,transformer2
3,特に受付の方の笑顔が素晴らしく、気持ちよく利用することができました,-0.007141010952182114,0.0018810107139870524,0.009022021666169167,中立,transformer2
4,施設も清潔で快適な環境が整っていたと思います,-0.03301383019424975,0.003527888795360923,0.03654171898961067,中立,transformer2
5,ただし、待ち時間が予想以上に長く、少しストレスを感じました,0.9794130427762866,0.9888758063316345,0.00946276355534792,ポジティブ,transformer2
6,予約システムの改善が必要ではないでしょうか,-0.5394377261400223,0.21412883698940277,0.753566563129425,ネガティブ,transformer2
7,また、料金が少し高めに感じられたのが残念です,0.985982802696526,0.9922507405281067,0.006267937831580639,ポジティブ,transformer2
8,コストパフォーマンスの面では改善の余地があると思います,-0.67727180570364,0.12497559934854507,0.8022474050521851,ネガティブ,transformer2
9,それでも、全体的には満足しています,-0.07112607499584556,0.005296772811561823,0.07642284780740738,中立,transformer2
10,提供されたサービスの質は高く、専門性を感じました,-0.0627419650554657,0.008366838097572327,0.07110880315303802,中立,transformer2
11,次回も機会があれば利用したいと考えています,-0.09388848324306309,0.003892251057550311,0.0977807343006134,中立,transformer2
12,友人にもおすすめできるサービスだと思います,-0.0636848728172481,0.00393877224996686,0.06762364506721497,中立,transformer2
13,一点だけ改善を希望するとすれば、駐車場の案内表示です,-0.6781801730394363,0.1525088995695114,0.8306890726089478,ネガティブ,transformer2
14,初めて訪れた際、駐車場の場所が分かりにくく困りました,0.9472093135118484,0.9725586175918579,0.02534930408000946,ポジティブ,transformer2
15,より明確な案内があると助かります,-0.04238794185221195,0.0027797985821962357,0.04516774043440819,中立,transformer2
16,今後のサービス向上に期待しています,-0.18850176502019167,0.005429069511592388,0.19393083453178406,中立,transformer2
