sentence_id,sentence,score,positive,negative,sentiment,model_name
1,先日利用させていただいたサービスについて、感想をお伝えします,0.9173060171306133,0.9586530327796936,0.041347015649080276,ポジティブ,transformer1
2,スタッフの皆様の対応が非常に丁寧で、とても好感が持てました,0.9999113346311788,0.9999556541442871,4.4319513108348474e-05,ポジティブ,transformer1
3,特に受付の方の笑顔が素晴らしく、気持ちよく利用することができました,0.9999129712414287,0.999956488609314,4.351736788521521e-05,ポジティブ,transformer1
4,施設も清潔で快適な環境が整っていたと思います,0.999913688916422,0.9999568462371826,4.315732076065615e-05,ポジティブ,transformer1
5,ただし、待ち時間が予想以上に長く、少しストレスを感じました,-0.994135225424543,0.0029324048664420843,0.9970676302909851,ネガティブ,transformer1
6,予約システムの改善が必要ではないでしょうか,-0.9982838751748204,0.0008580563589930534,0.9991419315338135,ネガティブ,transformer1
7,また、料金が少し高めに感じられたのが残念です,-0.9931966431904584,0.0034016601275652647,0.9965983033180237,ネガティブ,transformer1
8,コストパフォーマンスの面では改善の余地があると思います,-0.8700397163629532,0.06498013436794281,0.935019850730896,ネガティブ,transformer1
9,それでも、全体的には満足しています,0.999888426191319,0.9999442100524902,5.578386117122136e-05,ポジティブ,transformer1
10,提供されたサービスの質は高く、専門性を感じました,0.9992974114138633,0.9996486902236938,0.0003512788098305464,ポジティブ,transformer1
11,次回も機会があれば利用したいと考えています,0.9997375238453969,0.9998687505722046,0.0001312267268076539,ポジティブ,transformer1
12,友人にもおすすめできるサービスだと思います,0.9993370010051876,0.9996684789657593,0.0003314779605716467,ポジティブ,transformer1
13,一点だけ改善を希望するとすれば、駐車場の案内表示です,-0.9994917674048338,0.0002541379944887012,0.9997459053993225,ネガティブ,transformer1
14,初めて訪れた際、駐車場の場所が分かりにくく困りました,-0.999300923460396,0.00034955490264110267,0.9996504783630371,ネガティブ,transformer1
15,より明確な案内があると助かります,0.9998989464620536,0.9999494552612305,5.050879917689599e-05,ポジティブ,transformer1
16,今後のサービス向上に期待しています,0.9986359663307667,0.99931800365448,0.0006820373237133026,ポジティブ,transformer1
